"trial","sweep","log10n","n","snr","design","term","degree","is_truth","vif"
1,"n",5,1e+05,49,"truth","x2^2 x3",3,TRUE,2.96374784454229
1,"n",5,1e+05,49,"truth","x1^3 x3",4,TRUE,3.54680706256707
1,"n",5,1e+05,49,"truth","x3^3",3,TRUE,8.67050408647144
1,"n",5,1e+05,49,"selected","x1",1,FALSE,179.064004890032
1,"n",5,1e+05,49,"selected","x2",1,FALSE,587.567841750346
1,"n",5,1e+05,49,"selected","x3",1,TRUE,834.626919469088
1,"n",5,1e+05,49,"selected","x1^2",2,TRUE,943.025714499217
1,"n",5,1e+05,49,"selected","x1 x2",2,FALSE,588.547226631451
1,"n",5,1e+05,49,"selected","x2^2",2,TRUE,1785.63866479424
1,"n",5,1e+05,49,"selected","x1 x3",2,FALSE,2442.67229774744
1,"n",5,1e+05,49,"selected","x2 x3",2,FALSE,3881.89046783709
1,"n",5,1e+05,49,"selected","x3^2",2,FALSE,9254.05159931483
1,"n",5,1e+05,49,"selected","x1^3",3,FALSE,243.064180898285
1,"n",5,1e+05,49,"selected","x1^2 x2",3,FALSE,2323.04181931105
1,"n",5,1e+05,49,"selected","x2^3",3,FALSE,8141.72938828939
1,"n",5,1e+05,49,"selected","x1 x2 x3",3,FALSE,1530.6441736899
1,"n",5,1e+05,49,"selected","x2^2 x3",3,TRUE,8060.96747417425
1,"n",5,1e+05,49,"selected","x1 x3^2",3,FALSE,2798.77678721522
1,"n",5,1e+05,49,"selected","x3^3",3,TRUE,13486.7551317906
1,"n",5,1e+05,49,"selected","x1^4",4,FALSE,1152.27631841837
1,"n",5,1e+05,49,"selected","x1^3 x2",4,FALSE,623.227741745617
1,"n",5,1e+05,49,"selected","x1^2 x2^2",4,FALSE,578.529056571533
1,"n",5,1e+05,49,"selected","x1 x2^3",4,FALSE,444.977289517711
1,"n",5,1e+05,49,"selected","x2^4",4,FALSE,2269.26398901617
1,"n",5,1e+05,49,"selected","x1^2 x2 x3",4,FALSE,5162.56406122639
1,"n",5,1e+05,49,"selected","x1 x2^2 x3",4,FALSE,90.5448157746197
1,"n",5,1e+05,49,"selected","x2^3 x3",4,FALSE,10447.2635302059
1,"n",5,1e+05,49,"selected","x1^2 x3^2",4,FALSE,309.098732337474
1,"n",5,1e+05,49,"selected","x1 x2 x3^2",4,FALSE,722.334718001645
1,"n",5,1e+05,49,"selected","x2^2 x3^2",4,FALSE,6959.86370784497
1,"n",5,1e+05,49,"selected","x1 x3^3",4,FALSE,26768.764457343
1,"n",5,1e+05,49,"selected","x2 x3^3",4,FALSE,2020.71710672497
1,"n",5,1e+05,49,"selected","x3^4",4,FALSE,127720.133747602
1,"n",5,1e+05,49,"selected","x1^4 x2",5,FALSE,1518.75064674177
1,"n",5,1e+05,49,"selected","x1^3 x2^2",5,FALSE,45.222220576901
1,"n",5,1e+05,49,"selected","x1^2 x2^3",5,FALSE,1288.66215171799
1,"n",5,1e+05,49,"selected","x1 x2^4",5,FALSE,68.0246240506983
1,"n",5,1e+05,49,"selected","x2^5",5,FALSE,5325.06660041299
1,"n",5,1e+05,49,"selected","x1^4 x3",5,FALSE,530.78421225602
1,"n",5,1e+05,49,"selected","x1^3 x2 x3",5,FALSE,611.127914684774
1,"n",5,1e+05,49,"selected","x1^2 x2^2 x3",5,FALSE,163.484363612567
1,"n",5,1e+05,49,"selected","x1 x2^3 x3",5,FALSE,479.507182714539
1,"n",5,1e+05,49,"selected","x1^2 x2 x3^2",5,FALSE,3055.56051227908
1,"n",5,1e+05,49,"selected","x2^3 x3^2",5,FALSE,7832.21959354175
1,"n",5,1e+05,49,"selected","x1 x3^4",5,FALSE,13662.430878087
1,"n",5,1e+05,49,"selected","x3^5",5,FALSE,44959.9499488107
2,"n",5,1e+05,49,"full","x1",1,FALSE,2504.97585126532
2,"n",5,1e+05,49,"full","x2",1,FALSE,2189.46321587194
2,"n",5,1e+05,49,"full","x3",1,TRUE,6627.22215627551
2,"n",5,1e+05,49,"full","x1^2",2,TRUE,3909.50487664601
2,"n",5,1e+05,49,"full","x1 x2",2,FALSE,2718.03250213365
2,"n",5,1e+05,49,"full","x2^2",2,TRUE,4469.6903689551
2,"n",5,1e+05,49,"full","x1 x3",2,FALSE,11252.3975855561
2,"n",5,1e+05,49,"full","x2 x3",2,FALSE,14123.5241346301
2,"n",5,1e+05,49,"full","x3^2",2,FALSE,159717.282507232
2,"n",5,1e+05,49,"full","x1^3",3,FALSE,17814.3413675844
2,"n",5,1e+05,49,"full","x1^2 x2",3,FALSE,4827.59050670334
2,"n",5,1e+05,49,"full","x1 x2^2",3,FALSE,4247.31284069632
2,"n",5,1e+05,49,"full","x2^3",3,FALSE,10235.3686096936
2,"n",5,1e+05,49,"full","x1^2 x3",3,TRUE,13660.5108891567
2,"n",5,1e+05,49,"full","x1 x2 x3",3,FALSE,8031.53050181736
2,"n",5,1e+05,49,"full","x2^2 x3",3,TRUE,11376.7973013209
2,"n",5,1e+05,49,"full","x1 x3^2",3,FALSE,230999.107608175
2,"n",5,1e+05,49,"full","x2 x3^2",3,FALSE,214228.5316095
2,"n",5,1e+05,49,"full","x3^3",3,TRUE,2136673.20802301
2,"n",5,1e+05,49,"full","x1^4",4,FALSE,6658.66443850024
2,"n",5,1e+05,49,"full","x1^3 x2",4,FALSE,2315.49461110915
2,"n",5,1e+05,49,"full","x1^2 x2^2",4,FALSE,1654.20597152261
2,"n",5,1e+05,49,"full","x1 x2^3",4,FALSE,2002.51466519261
2,"n",5,1e+05,49,"full","x2^4",4,FALSE,8510.23714954803
2,"n",5,1e+05,49,"full","x1^3 x3",4,TRUE,25495.8751191598
2,"n",5,1e+05,49,"full","x1^2 x2 x3",4,FALSE,11778.8855785355
2,"n",5,1e+05,49,"full","x1 x2^2 x3",4,FALSE,10840.591949798
2,"n",5,1e+05,49,"full","x2^3 x3",4,FALSE,38587.7452404795
2,"n",5,1e+05,49,"full","x1^2 x3^2",4,FALSE,81932.8754491111
2,"n",5,1e+05,49,"full","x1 x2 x3^2",4,FALSE,48191.1290250939
2,"n",5,1e+05,49,"full","x2^2 x3^2",4,FALSE,109495.423848967
2,"n",5,1e+05,49,"full","x1 x3^3",4,FALSE,911825.182421139
2,"n",5,1e+05,49,"full","x2 x3^3",4,FALSE,723342.883730285
2,"n",5,1e+05,49,"full","x3^4",4,FALSE,4003894.61675462
2,"n",5,1e+05,49,"full","x1^5",5,FALSE,15067.1258937277
2,"n",5,1e+05,49,"full","x1^4 x2",5,FALSE,3543.07571222425
2,"n",5,1e+05,49,"full","x1^3 x2^2",5,FALSE,2227.61576457093
2,"n",5,1e+05,49,"full","x1^2 x2^3",5,FALSE,2207.32340151796
2,"n",5,1e+05,49,"full","x1 x2^4",5,FALSE,2744.60912697885
2,"n",5,1e+05,49,"full","x2^5",5,FALSE,10410.4219492783
2,"n",5,1e+05,49,"full","x1^4 x3",5,FALSE,7973.22357005028
2,"n",5,1e+05,49,"full","x1^3 x2 x3",5,FALSE,2075.44143840961
2,"n",5,1e+05,49,"full","x1^2 x2^2 x3",5,FALSE,2058.17177521622
2,"n",5,1e+05,49,"full","x1 x2^3 x3",5,FALSE,1720.41054098908
2,"n",5,1e+05,49,"full","x2^4 x3",5,FALSE,8719.12438131052
2,"n",5,1e+05,49,"full","x1^3 x3^2",5,FALSE,14059.3054897449
2,"n",5,1e+05,49,"full","x1^2 x2 x3^2",5,FALSE,6184.83901273877
2,"n",5,1e+05,49,"full","x1 x2^2 x3^2",5,FALSE,7504.74541043356
