"trial","log10n","n","snr","variant","p_selected","truth_in_selected","n_spurious_selected","p_final","success","truth_in_final","n_spurious_final","selected"
16,4.4,25119,49,"1se/1se",15,FALSE,10,16,FALSE,FALSE,10,"x3;x1^2;x2^2;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x2 x3;x2^3 x3;x1^2 x3^2;x2^2 x3^2;x1^4 x3;x1^2 x2^2 x3;x2^4 x3"
17,4.4,25119,49,"min/min",11,TRUE,4,8,TRUE,TRUE,0,"x3;x1^2;x2^2;x2 x3;x1^2 x3;x2^2 x3;x3^3;x1^2 x2^2;x2^4;x1^3 x3;x3^4"
17,4.4,25119,49,"min/1se",20,TRUE,13,8,TRUE,TRUE,0,"x1;x3;x1^2;x2^2;x1 x3;x2 x3;x2^3;x1^2 x3;x2^2 x3;x3^3;x1^3 x3;x1^2 x2 x3;x1 x2^2 x3;x1^2 x3^2;x2^2 x3^2;x1 x3^3;x2 x3^3;x3^4;x1^2 x2 x3^2;x2^3 x3^2"
17,4.4,25119,49,"1se/1se",20,TRUE,13,8,TRUE,TRUE,0,"x1;x3;x1^2;x2^2;x1 x3;x2 x3;x2^3;x1^2 x3;x2^2 x3;x3^3;x1^3 x3;x1^2 x2 x3;x1 x2^2 x3;x1^2 x3^2;x2^2 x3^2;x1 x3^3;x2 x3^3;x3^4;x1^2 x2 x3^2;x2^3 x3^2"
18,4.4,25119,49,"min/min",9,TRUE,2,8,TRUE,TRUE,0,"x3;x1^2;x2^2;x1^2 x3;x2^2 x3;x3^3;x1^3 x3;x1^2 x3^2;x2^2 x3^2"
18,4.4,25119,49,"min/1se",15,TRUE,8,8,TRUE,TRUE,0,"x3;x1^2;x2^2;x1 x3;x2 x3;x3^2;x1^2 x3;x2^2 x3;x3^3;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x3^2;x2^2 x3^2;x3^4"
18,4.4,25119,49,"1se/1se",15,TRUE,8,8,TRUE,TRUE,0,"x3;x1^2;x2^2;x1 x3;x2 x3;x3^2;x1^2 x3;x2^2 x3;x3^3;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x3^2;x2^2 x3^2;x3^4"
19,4.4,25119,49,"min/min",22,TRUE,15,8,TRUE,TRUE,0,"x3;x1^2;x1 x2;x2^2;x2 x3;x1^2 x3;x1 x2 x3;x2^2 x3;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x2 x3;x1^2 x3^2;x2^2 x3^2;x2 x3^3;x1^4 x3;x1^3 x2 x3;x1^2 x2^2 x3;x1^3 x3^2;x2^3 x3^2"
19,4.4,25119,49,"min/1se",18,FALSE,12,16,FALSE,FALSE,9,"x3;x1^2;x2^2;x2 x3;x1 x2^2;x1 x2 x3;x2^2 x3;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x2 x3;x1^2 x3^2;x2^2 x3^2;x1^3 x2^2;x1^4 x3;x1^2 x2^2 x3"
19,4.4,25119,49,"1se/1se",18,FALSE,12,16,FALSE,FALSE,9,"x3;x1^2;x2^2;x2 x3;x1 x2^2;x1 x2 x3;x2^2 x3;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x2 x3;x1^2 x3^2;x2^2 x3^2;x1^3 x2^2;x1^4 x3;x1^2 x2^2 x3"
0,4.2,15849,49,"min/min",12,TRUE,5,10,FALSE,TRUE,2,"x3;x1^2;x2^2;x1 x3;x3^2;x1^2 x3;x2^2 x3;x3^3;x1^2 x2^2;x1^3 x3;x3^4;x1^2 x2^2 x3"
0,4.2,15849,49,"min/1se",12,TRUE,5,8,TRUE,TRUE,0,"x3;x1^2;x2^2;x1 x3;x1^2 x3;x2^2 x3;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x3^4"
