"trial","sweep","log10n","n","snr","design","p","kappa","vif_max","vif_median","n_vif_gt10"
15,"snr",3.69897000433602,5000,40,"trimmed",34,420.901013574067,8353.02130534993,160.238673011544,34
15,"snr",3.69897000433602,5000,40,"truth",7,10.8909540327948,8.54251675202029,3.58659140419086,0
15,"snr",3.69897000433602,5000,40,"selected",12,261.013622929078,4084.10298409992,96.8119840136064,9
15,"snr",3.69897000433602,5000,45,"full",55,2563.52990617126,190614.130446465,860.349267289156,55
15,"snr",3.69897000433602,5000,45,"trimmed",34,421.928920542818,8394.87009829616,160.033289526341,34
15,"snr",3.69897000433602,5000,45,"truth",7,10.8912899075256,8.54096566539121,3.59259177963076,0
15,"snr",3.69897000433602,5000,45,"selected",9,238.114522145212,4028.94779586953,5.48667270234596,4
15,"snr",3.69897000433602,5000,50,"full",55,2560.9946528767,190204.127997638,864.714932832495,55
15,"snr",3.69897000433602,5000,50,"trimmed",34,421.510411584268,8378.59938651981,161.425058421527,34
15,"snr",3.69897000433602,5000,50,"truth",7,10.8883411718998,8.53784277974734,3.59077501519009,0
15,"snr",3.69897000433602,5000,50,"selected",12,261.450852823309,4097.4769385914,97.4174608651945,9
15,"snr",3.69897000433602,5000,55,"full",55,2563.01085415989,190517.756810579,863.391201115206,55
