"trial","sweep","log10n","n","snr","trimmed_p","trimmed_max_degree","selected","selected_intercept","screen_exact_truth","truth_in_selected","seconds"
0,"n",4,10000,49,55,5,"x3;x1^2;x2^2;x3^2;x1^2 x3;x2^2 x3;x3^3;x1^3 x3;x3^4",TRUE,FALSE,TRUE,5.94783902168274
1,"n",4,10000,49,55,5,"x1;x2;x3;x1^2;x1 x2;x2^2;x1 x3;x2 x3;x3^2;x1^2 x2;x2^2 x3;x1 x3^2;x2 x3^2;x3^3;x1^4;x1^2 x2^2;x2^4;x1 x2^2 x3;x2^3 x3;x1^2 x3^2;x1 x2 x3^2;x2^2 x3^2;x1 x3^3;x2 x3^3;x3^4;x1^5;x1^3 x2^2;x1^2 x2^3;x1 x2^4;x2^5;x1^4 x3;x1^3 x2 x3;x1^2 x2^2 x3;x1 x2^3 x3;x1^2 x2 x3^2;x2^3 x3^2;x1^2 x3^3;x2^2 x3^3",TRUE,FALSE,FALSE,5.90563464164734
2,"n",4,10000,49,55,5,"x1;x2;x3;x1^2;x1 x2;x2^2;x1 x3;x2 x3;x3^2;x1^3;x1^2 x2;x1 x2^2;x2^3;x1^2 x3;x1 x2 x3;x2^2 x3;x1 x3^2;x2 x3^2;x3^3;x1^4;x1^2 x2^2;x2^4;x1^2 x2 x3;x1^2 x3^2;x1 x2 x3^2;x2^2 x3^2;x2 x3^3;x3^4;x1^5;x1^4 x2;x1^3 x2^2;x1^2 x2^3;x1 x2^4;x1^3 x2 x3;x1 x2^3 x3;x2^4 x3;x1^2 x2 x3^2;x2^3 x3^2;x2^2 x3^3;x1 x3^4",TRUE,FALSE,FALSE,6.31503081321716
3,"n",4,10000,49,55,5,"x3;x1^2;x2^2;x1^2 x3;x2^2 x3;x3^3;x1^4;x1^2 x2^2;x1^3 x3;x1^2 x2 x3;x1^2 x3^2;x2^2 x3^2;x1^4 x3;x1^2 x2^2 x3;x1^2 x2 x3^2",TRUE,FALSE,TRUE,5.75210094451904
4,"n",4,10000,49,55,5,"x3;x1^2;x2^2;x1^2 x3;x2^2 x3;x3^3;x1^2 x2^2;x2^4;x1^3 x3;x2^3 x3;x2^2 x3^2;x3^4;x1^2 x2^2 x3;x2^4 x3",TRUE,FALSE,TRUE,5.66446542739868
5,"n",4,10000,49,55,5,"x3;x1^2;x2^2;x3^2;x2^2 x3;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x3^2;x2^2 x3^2;x3^4;x1^4 x3;x1^2 x2^2 x3;x2^4 x3",TRUE,FALSE,FALSE,5.64659214019775
6,"n",4,10000,49,34,4,"x3;x1^2;x2^2;x1 x3;x3^2;x1^2 x3;x2^2 x3;x3^3;x1^3 x3;x3^4",TRUE,FALSE,TRUE,5.12867975234985
7,"n",4,10000,49,55,5,"x3;x1^2;x2^2;x3^2;x1^2 x3;x2^2 x3;x3^3;x1^3 x3;x1^2 x3^2;x2^2 x3^2;x3^4",TRUE,FALSE,TRUE,5.74106025695801
8,"n",4,10000,49,55,5,"x1;x2;x3;x1^2;x1 x2;x2^2;x2 x3;x3^2;x1^2 x3;x2^2 x3;x1 x3^2;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x2 x3;x1^2 x3^2;x1 x2 x3^2;x2^2 x3^2;x3^4;x1^4 x3;x1^2 x2^2 x3;x2^4 x3",TRUE,FALSE,TRUE,5.89268040657043
9,"n",4,10000,49,34,4,"x3;x1^2;x2^2;x1^2 x3;x2^2 x3;x3^3;x1^4;x1^3 x3;x1^2 x3^2",TRUE,FALSE,TRUE,4.99774026870728
